,sno,date of event,country,loc_list,loc_list_a,reported region/places,row_idx,report type
11,175,20241017,South Sudan, Jonglei,Northern Bahr el Ghazal,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_11,South Sudan Floods - Emergency Appeal (MDRSS014)
11,175,20241017,South Sudan, Northern Bahr el Ghazal,Northern Bahr el Ghazal,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_11,South Sudan Floods - Emergency Appeal (MDRSS014)
11,175,20241017,South Sudan, Unity,Northern Bahr el Ghazal,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_11,South Sudan Floods - Emergency Appeal (MDRSS014)
11,175,20241017,South Sudan, Upper Nile,Northern Bahr el Ghazal,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_11,South Sudan Floods - Emergency Appeal (MDRSS014)
11,175,20241017,South Sudan, Warrap,Northern Bahr el Ghazal,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_11,South Sudan Floods - Emergency Appeal (MDRSS014)
12,175,20241017,South Sudan,38 counties,Unity,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_12,South Sudan Floods - Emergency Appeal (MDRSS014)
12,175,20241017,South Sudan, Jonglei,Unity,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_12,South Sudan Floods - Emergency Appeal (MDRSS014)
12,175,20241017,South Sudan, Northern Bahr el Ghazal,Unity,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_12,South Sudan Floods - Emergency Appeal (MDRSS014)
12,175,20241017,South Sudan, Unity,Unity,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_12,South Sudan Floods - Emergency Appeal (MDRSS014)
12,175,20241017,South Sudan, Upper Nile,Unity,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_12,South Sudan Floods - Emergency Appeal (MDRSS014)
12,175,20241017,South Sudan, Warrap,Unity,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_12,South Sudan Floods - Emergency Appeal (MDRSS014)
13,175,20241017,South Sudan,38 counties,Upper Nile,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_13,South Sudan Floods - Emergency Appeal (MDRSS014)
13,175,20241017,South Sudan, Jonglei,Upper Nile,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_13,South Sudan Floods - Emergency Appeal (MDRSS014)
13,175,20241017,South Sudan, Northern Bahr el Ghazal,Upper Nile,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_13,South Sudan Floods - Emergency Appeal (MDRSS014)
13,175,20241017,South Sudan, Unity,Upper Nile,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_13,South Sudan Floods - Emergency Appeal (MDRSS014)
